iter	Passed	Remaining
0	2	905
1	4	843
2	6	876
3	8	853
4	10	854
5	13	870
6	15	863
7	17	855
8	19	849
9	22	858
10	24	863
11	27	866
12	29	867
13	31	865
14	34	864
15	36	865
16	39	873
17	41	875
18	44	875
19	46	880
20	49	875
21	51	871
22	53	872
23	56	868
24	58	864
25	61	868
26	63	867
27	66	865
28	68	866
29	71	867
30	73	863
31	76	869
32	79	870
33	81	870
34	84	870
35	87	873
36	90	872
37	93	876
38	95	876
39	98	874
40	101	876
41	104	874
42	106	871
43	109	869
44	111	866
45	113	862
46	116	865
47	119	864
48	121	860
49	124	857
50	127	857
51	129	855
52	132	851
53	134	851
54	137	847
55	139	844
56	142	842
57	144	841
58	147	840
59	150	841
60	152	837
61	155	834
62	158	832
63	160	829
64	162	825
65	165	823
66	167	820
67	169	816
68	172	813
69	174	812
70	177	809
71	180	809
72	183	809
73	186	807
74	188	806
75	191	803
76	194	803
77	197	803
78	200	801
79	202	798
80	205	798
81	208	797
82	211	794
83	214	792
84	216	789
85	218	786
86	221	784
87	224	781
88	226	779
89	229	777
90	231	773
91	234	770
92	236	767
93	239	766
94	241	763
95	244	761
96	246	758
97	249	755
98	251	752
99	254	749
100	256	746
101	258	743
102	261	740
103	263	737
104	265	734
105	268	732
106	270	729
107	273	726
108	275	723
109	278	720
110	280	718
111	283	715
112	285	712
113	287	709
114	290	707
115	293	704
116	295	701
117	297	698
118	300	696
119	302	693
120	304	690
121	306	686
122	309	684
123	312	681
124	314	678
125	316	675
126	318	672
127	321	669
128	323	667
129	326	665
130	328	662
131	330	659
132	333	656
133	335	653
134	338	651
135	340	648
136	342	645
137	345	642
138	347	639
139	350	637
140	352	634
141	355	632
142	357	630
143	359	627
144	362	624
145	364	622
146	367	619
147	369	617
148	372	614
149	374	612
150	377	609
151	379	607
152	382	605
153	385	602
154	387	599
155	389	597
156	392	594
157	394	591
158	396	589
159	399	587
160	402	584
161	404	582
162	407	580
163	410	577
164	413	576
165	416	574
166	418	571
167	421	570
168	424	567
169	427	565
170	430	563
171	432	560
172	435	558
173	437	555
174	440	553
175	443	551
176	446	550
177	449	548
178	452	546
179	455	544
180	458	541
181	461	540
182	464	538
183	467	536
184	471	534
185	473	532
186	476	530
187	479	528
188	482	525
189	493	532
190	496	530
191	498	527
192	501	524
193	503	521
194	506	518
195	508	516
196	510	513
197	512	510
198	515	507
199	517	504
200	520	502
201	522	499
202	525	496
203	527	494
204	530	491
205	532	488
206	535	486
207	537	483
208	540	480
209	542	478
210	545	475
211	547	472
212	550	470
213	552	467
214	554	464
215	557	461
216	559	459
217	562	456
218	564	453
219	566	450
220	569	448
221	571	445
222	574	442
223	576	440
224	579	437
225	582	435
226	584	432
227	586	429
228	589	427
229	591	424
230	593	421
231	596	418
232	598	416
233	601	413
234	603	410
235	605	408
236	608	405
237	610	402
238	613	400
239	615	397
240	617	394
241	619	391
242	621	389
243	624	386
244	626	383
245	628	380
246	630	377
247	632	374
248	634	372
249	637	369
250	639	366
251	641	364
252	644	361
253	646	358
254	648	356
255	650	353
256	653	350
257	655	347
258	657	345
259	659	342
260	661	339
261	663	336
262	665	333
263	668	331
264	670	328
265	673	326
266	675	323
267	677	321
268	680	318
269	682	315
270	685	313
271	687	310
272	689	308
273	691	305
274	694	302
275	696	300
276	698	297
277	701	295
278	703	292
279	705	289
280	707	287
281	709	284
282	712	281
283	714	279
284	716	276
285	718	273
286	720	271
287	722	268
288	724	265
289	727	263
290	729	260
291	731	258
292	733	255
293	735	252
294	737	250
295	740	247
296	742	244
297	744	242
298	746	239
299	749	237
300	751	234
301	753	231
302	755	229
303	757	226
304	759	224
305	762	221
306	764	219
307	766	216
308	768	213
309	771	211
310	773	209
311	776	206
312	778	204
313	781	201
314	783	199
315	786	196
316	789	194
317	791	191
318	793	189
319	795	186
320	798	183
321	800	181
322	802	178
323	804	176
324	806	173
325	809	171
326	811	168
327	813	166
328	815	163
329	817	160
330	819	158
331	821	155
332	823	153
333	825	150
334	828	148
335	830	145
336	832	143
337	833	140
338	836	138
339	838	135
340	840	133
341	842	130
342	844	128
343	847	125
344	849	123
345	851	120
346	854	118
347	856	115
348	858	113
349	860	110
350	862	108
351	864	105
352	866	103
353	868	100
354	870	98
355	872	95
356	875	93
357	877	90
358	879	88
359	881	85
360	883	83
361	885	80
362	887	78
363	890	75
364	892	73
365	894	70
366	896	68
367	898	65
368	900	63
369	902	61
370	904	58
371	907	56
372	909	53
373	911	51
374	913	48
375	915	46
376	917	43
377	919	41
378	921	38
379	924	36
380	925	34
381	927	31
382	929	29
383	932	26
384	934	24
385	936	21
386	938	19
387	940	16
388	942	14
389	944	12
390	946	9
391	948	7
392	950	4
393	952	2
394	954	0
